Channel,Global Min,Global Max
Channel 1,0.0,509.50000000000006
Channel 2,0.0,509.50000000000006
Channel 3,0.0,509.50000000000006
Channel 4,0.0,508.5000000000001
Channel 5,0.0,510.00000000000006
Channel 6,-235.00000000000006,236.50000000000006
Channel 7,-239.00000000000006,238.5
Channel 8,-147.0,142.0
Channel 9,-235.00000000000006,236.50000000000006
Channel 10,-239.00000000000006,238.5
Channel 11,-147.0,142.0
Channel 12,-238.0,233.50000000000006
Channel 13,-244.5,249.50000000000003
Channel 14,-192.5,154.0
Channel 15,-234.5,235.50000000000003
Channel 16,-238.00000000000003,241.00000000000006
Channel 17,-133.5,142.0
Channel 18,-248.50000000000003,251.00000000000003
Channel 19,-255.00000000000003,255.00000000000003
Channel 20,-226.50000000000003,228.50000000000003
